"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.648145095E2,4.771381812E1,1.771384823E1,1.215710515E2,2.154516983E1,3.365600891E2,8.001208274E0,8.001208274E0
1.658145039E2,4.771398653E1,1.771371100E1,1.211466540E2,2.129789162E1,3.365600891E2,8.001208274E0,8.001208274E0
1.668144983E2,4.771414915E1,1.771358278E1,1.209491285E2,2.129789162E1,3.365621033E2,8.001208274E0,8.001208274E0
1.678144928E2,4.771431548E1,1.771346951E1,1.208244977E2,2.030290413E1,3.352424011E2,8.001208274E0,8.001208274E0
1.688144871E2,4.771447192E1,1.771336346E1,1.205361268E2,1.939098358E1,3.350089417E2,8.001208274E0,8.001208274E0
1.698144798E2,4.771460346E1,1.771327496E1,1.202996206E2,1.855677986E1,3.337089233E2,8.001208274E0,8.001208274E0
1.708144746E2,4.771470974E1,1.771321908E1,1.197682780E2,1.487552261E1,3.299318542E2,8.001208274E0,8.001208274E0
1.718144678E2,4.771482146E1,1.771315404E1,1.192683985E2,1.487552261E1,3.299318542E2,1.200181241E1,1.200181241E1
1.728144627E2,4.771498862E1,1.771339065E1,1.191505699E2,1.455360031E1,4.778107643E0,1.200181241E1,1.200181241E1
1.738144566E2,4.771512725E1,1.771332810E1,1.192280922E2,1.377570915E1,3.399607544E2,1.200181241E1,1.200181241E1
1.748144513E2,4.771520277E1,1.771321852E1,1.193692047E2,1.269470787E1,3.149122314E2,1.200181241E1,1.200181241E1
1.758144447E2,4.771525163E1,1.771314558E1,1.195503082E2,1.171571445E1,3.046134338E2,1.200181241E1,1.200181241E1
1.768144447E2,4.771528162E1,1.771293261E1,1.197488827E2,1.171571445E1,2.708786011E2,1.200181241E1,1.200181241E1
1.778144332E2,4.771526320E1,1.771277327E1,1.200820153E2,1.163564491E1,2.401769562E2,1.200181241E1,1.200181241E1
1.788144271E2,4.771524327E1,1.771272175E1,1.203944087E2,1.163564491E1,2.401769562E2,1.200181241E1,1.200181241E1
1.798144213E2,4.771514439E1,1.771244956E1,1.206109462E2,1.231473637E1,2.875103455E2,8.001208274E0,8.001208274E0
1.808144152E2,4.771517796E1,1.771225104E1,1.207483272E2,1.458375168E1,2.923545532E2,8.001208274E0,8.001208274E0
1.818144100E2,4.771521376E1,1.771205113E1,1.208343416E2,1.592934895E1,2.917412109E2,8.001208274E0,8.001208274E0
1.828144042E2,4.771524441E1,1.771188807E1,1.206759646E2,1.592934895E1,3.008866882E2,8.001208274E0,8.001208274E0
1.838143985E2,4.771534881E1,1.771164644E1,1.205482586E2,1.688597107E1,3.043173828E2,1.200181241E1,1.200181241E1
1.848143935E2,4.771544852E1,1.771144190E1,1.208109702E2,1.774195099E1,3.082940674E2,1.200181241E1,1.200181241E1
1.858143861E2,4.771556297E1,1.771123310E1,1.211061180E2,1.857408524E1,3.108689880E2,1.200181241E1,1.200181241E1
1.868143802E2,4.771568256E1,1.771105688E1,1.212183324E2,1.898803711E1,3.176389465E2,1.200181241E1,1.200181241E1
1.878143742E2,4.771583493E1,1.771087219E1,1.213667456E2,1.898803711E1,3.212545776E2,1.200181241E1,1.200181241E1
1.888143688E2,4.771597274E1,1.771071008E1,1.212942181E2,1.923063660E1,3.218029785E2,1.200181241E1,1.200181241E1
1.898143635E2,4.771609706E1,1.771056719E1,1.213894404E2,1.963864136E1,3.228225098E2,1.200181241E1,1.200181241E1
1.908143572E2,4.771623874E1,1.771041861E1,1.215906328E2,1.933901596E1,3.276450500E2,1.200181241E1,1.200181241E1
1.918143523E2,4.771638762E1,1.771028901E1,1.215518928E2,1.933901596E1,3.320296936E2,1.200181241E1,1.200181241E1
1.928143448E2,4.771660239E1,1.771014281E1,1.210569299E2,1.933901596E1,3.350561523E2,1.200181241E1,1.200181241E1
1.938143393E2,4.771675382E1,1.771004784E1,1.210486186E2,1.992224884E1,3.376135254E2,1.200181241E1,1.200181241E1
1.948143334E2,4.771692127E1,1.770994746E1,1.212537812E2,2.010148811E1,3.384919739E2,1.200181241E1,1.200181241E1
1.958143275E2,4.771709853E1,1.770985455E1,1.212006203E2,1.987380219E1,3.461075745E2,1.200181241E1,1.200181241E1
1.968143213E2,4.771727754E1,1.770980626E1,1.217820566E2,1.987380219E1,3.496765137E2,1.200181241E1,1.200181241E1
1.978143157E2,4.771744615E1,1.770976076E1,1.229353037E2,1.917821312E1,3.496765137E2,1.200181241E1,1.200181241E1
1.988143106E2,4.771754413E1,1.770973431E1,1.238563794E2,1.665464020E1,3.496765137E2,1.200181241E1,1.200181241E1
1.998143044E2,4.771763918E1,1.770970488E1,1.244063010E2,1.245651913E1,1.294747137E1,1.200181241E1,1.200181241E1
2.008142985E2,4.771771227E1,1.770978611E1,1.246441331E2,1.039062405E1,2.757105238E1,1.200181241E1,1.200181241E1
